,name,Show,principal component 1,principal component 2,principal component 3
274,Benjamin Sisko,Star Trek: Deep Space Nine,-10.551790444688928,-4.449459673849637,-6.284947334051304
275,Elim Garak,Star Trek: Deep Space Nine,2.6613381047771165,-5.215103096479512,-5.24647578583497
276,Kira Nerys,Star Trek: Deep Space Nine,-3.808031947881036,-6.6945066091402685,-5.0319635826990075
277,Julian Bashir,Star Trek: Deep Space Nine,-6.472258696393312,1.1159537568702202,-2.3172535613322087
278,Dukat,Star Trek: Deep Space Nine,7.021939242589205,-12.38285651377025,1.1049216187401445
279,Rom,Star Trek: Deep Space Nine,0.07125714079409286,10.019828755099491,7.231526076423429
280,Miles O'Brien,Star Trek: Deep Space Nine,-7.940542160215182,0.0976897002617118,2.1763601581962515
281,Jake Sisko,Star Trek: Deep Space Nine,-4.535442992305473,8.409081221132205,-1.039239497238129
282,Winn Adami,Star Trek: Deep Space Nine,5.219678826938768,-8.530410675886493,7.173243060299521
283,Kasidy Yates,Star Trek: Deep Space Nine,-6.183574623370042,2.189898877636434,-4.91350861663023
284,Patrick Jane,The Mentalist,-0.04963359241823736,1.3852562078136148,-11.87516347297132
285,Teresa Lisbon,The Mentalist,-8.879078962052299,-5.90302518390465,0.4651874001705865
286,Kimball Cho,The Mentalist,-9.797442884024631,-7.355279335054232,2.5802485906081873
287,Wayne Rigsby,The Mentalist,-5.89517168959847,3.612325956733671,4.617654012780804
288,Grace Van Pelt,The Mentalist,-9.608553445258465,-0.28299970585151635,0.27532719624205604
289,Red John,The Mentalist,10.519269667075953,-8.100053006536102,1.0343245173629143
290,Lincoln Burrows,Prison Break,-0.6416399250367584,-1.9177195508334692,-0.46115773227700746
291,Michael Scofield,Prison Break,-9.004578732317983,-6.839889048344971,-7.013460030069875
292,Veronica Donovan,Prison Break,-6.814028894811076,-1.7575186542618366,2.3373276296030516
293,Fernando Sucre,Prison Break,-3.592808031370849,7.761323137520681,-3.617454532468784
294,"Lincoln 'L.J.' Burrows, Jr.",Prison Break,4.049656722514076,6.058920429912763,4.414924474372733
295,Brad Bellick,Prison Break,13.813913275333638,-2.5602715034984826,10.936552189713366
296,Theodore 'T-Bag' Bagwell ,Prison Break,16.373679671842176,-1.4218303038201272,-1.183474718829958
297,Sara Tancredi,Prison Break,-8.543520424313037,1.0351265434760655,1.2517119400470544
298,Benjamin Miles 'C-Note' Franklin,Prison Break,-0.1040508412788744,-0.9715443070260398,0.011095840280465627
299,John Abruzzi,Prison Break,10.466618323400866,-3.6366057073622957,1.1897652076659653
300,Jack Sparrow,Pirates of the Caribbean,11.328419134439493,7.03230389224295,-12.264207087841259
301,Hector Barbossa,Pirates of the Caribbean,9.977689253295138,-3.845867355850858,-4.728778799718376
302,Joshamee Gibbs,Pirates of the Caribbean,-0.012055216462781708,4.6387239368619655,2.0445676228691534
303,Will Turner,Pirates of the Caribbean,-3.961412549116413,2.061451797461406,-3.2359426986298434
304,Elizabeth Swann,Pirates of the Caribbean,-2.144165254152289,-2.0253638039553263,-7.646602197592665
305,James Norrington,Pirates of the Caribbean,0.27039053165832355,-6.407857018470828,13.136337317133979
306,Vincent Vega,Pulp Fiction,2.7163285302752387,1.5512836907121326,-0.8111615215314144
307,Jules Winnfield ,Pulp Fiction,-1.9105765496693425,-5.234218236073001,-5.653997418577023
308,Mia Wallace,Pulp Fiction,5.98875497243026,2.4928376578698512,-9.670067155821238
309,Ringo,Pulp Fiction,12.417782196532105,4.7803696809619485,1.1095553958973081
